title,price,image,details
Сотовый телефон Nokia 5310 (2020) Dual Sim черный,"
4240 сом
","https://www.kivano.kg/images/product/85254/1603132115_66857000.jpg
",/product/view/sotovyy-telefon-nokia-5310-2020-dual-sim-chernyy
Сотовый телефон Xiaomi Redmi Note 8 4/128Gb белый,"
15280 сом
","https://www.kivano.kg/images/product/74247/1573491939_03043500.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-8-4-128gb-belyy
Сотовый телефон Nokia 5310 (2020) Dual Sim белый,"
4240 сом
","https://www.kivano.kg/images/product/85255/1603132141_84330700.jpg
",/product/view/sotovyy-telefon-nokia-5310-2020-dual-sim-belyy
Сотовый телефон Xiaomi Mi 11 Lite 6/128GB розовый,"
25650 сом
","https://www.kivano.kg/images/product/91399/1619364564_04035900.jpg
",/product/view/sotovyy-telefon-xiaomi-mi-11-lite-6-128gb-rozovyy
Сотовый телефон Philips Xenium E109 черный,"
1950 сом
","https://www.kivano.kg/images/product/69896/69896.jpg
",/product/view/sotovyy-telefon-philips-xenium-e109-chernyy
Сотовый телефон Xiaomi Redmi Note 8 4/128Gb синий,"
15280 сом
","https://www.kivano.kg/images/product/74248/1573492383_95124500.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-8-4-128gb-siniy
Сотовый телефон Realme C3 3/64GB серый,"
11290 сом
","https://www.kivano.kg/images/product/85256/1603134442_04104000.jpg
",/product/view/sotovyy-telefon-realme-c3-3-64gb-seryy
Сотовый телефон Realme C3 3/64GB голубой,"
11290 сом
","https://www.kivano.kg/images/product/85257/1603134537_25368900.jpg
",/product/view/sotovyy-telefon-realme-c3-3-64gb-goluboy
Сотовый телефон Nokia 210 черный,"
3820 сом
","https://www.kivano.kg/images/product/69898/69898.jpg
",/product/view/sotovyy-telefon-nokia-210-chernyy
Сотовый телефон Realme C3 3/64GB красный,"
11290 сом
","https://www.kivano.kg/images/product/85258/1603134653_07826100.jpg
",/product/view/sotovyy-telefon-realme-c3-3-64gb-krasnyy
Сотовый телефон BQ BQ-2428 Tank,"

 3650 сом
-7%

3400 сом
","https://www.kivano.kg/images/product/69899/69899.jpg
",/product/view/sotovyy-telefon-bq-bq-2428-tank
